cpu_percent,memory_percent,disk_percent,db_connections,db_pool_usage,api_latency_ms,error_rate,request_rate,queue_depth,network_latency_ms,traffic_growth_percent,failure_type,failure_in_next_window
49.57,37.52,96.13,59.11,15.73,556.1,5.69,920.94,29.75,27.2,13.79,disk_exhaustion,1
32.11,54.43,40.62,58.18,44.25,140.76,0.96,1305.64,27.68,33.58,1.48,none,0
50.48,54.95,61.46,77.12,38.9,124.39,0.85,1153.99,46.93,38.29,-3.4,none,0
81.31,89.63,63.15,35.02,48.48,552.05,4.06,1217.86,80.83,50.18,5.68,memory_exhaustion,1
40.87,67.94,42.01,59.52,19.76,133.26,1.63,1146.56,40.67,51.9,1.51,none,0
57.87,47.7,35.86,28.0,31.21,174.86,1.61,1172.62,23.59,42.38,11.26,none,0
51.85,42.06,49.55,39.27,27.06,174.35,1.12,1003.12,37.21,46.7,11.65,none,0
90.27,67.95,29.69,23.29,25.16,776.05,1.55,1514.99,136.44,59.49,39.34,cpu_saturation,1
48.57,42.87,33.31,46.08,37.06,161.63,1.52,1400.44,26.41,24.65,6.79,none,0
65.39,60.02,60.35,66.95,27.17,862.7,9.68,902.55,199.89,398.44,2.78,network_degradation,1
88.71,54.97,40.16,13.02,49.02,109.35,1.17,846.98,27.89,55.99,6.57,none,0
29.47,29.9,47.71,44.19,71.52,156.51,2.29,875.18,12.23,25.52,-2.25,none,0
32.68,60.06,41.46,58.97,50.77,1115.82,8.32,836.3,125.85,517.26,-7.26,network_degradation,1
49.29,65.67,58.29,38.84,61.59,1155.12,8.85,1367.89,253.07,19.48,29.26,api_availability_degradation,1
54.65,45.26,54.92,87.61,92.66,1064.86,4.35,1160.98,120.92,39.27,-3.43,database_connection_exhaustion,1
37.74,46.07,70.04,53.07,65.06,142.27,0.94,944.04,33.64,42.65,-5.84,none,0
48.42,80.21,83.15,32.2,40.69,76.83,1.03,1078.9,48.09,29.06,-1.54,none,0
42.56,37.25,47.06,31.85,43.59,62.11,0.33,1532.31,10.69,23.55,23.37,none,0
27.43,45.58,60.12,70.93,30.2,137.74,2.12,1108.69,24.36,37.99,-8.75,none,0
41.0,52.79,46.67,52.07,60.19,157.77,1.78,1013.29,30.0,29.18,8.16,none,0
87.21,75.12,93.78,50.79,33.55,531.65,3.29,1065.69,37.2,13.83,14.27,disk_exhaustion,1
45.79,46.49,53.45,41.22,47.29,223.57,0.0,940.79,32.65,44.44,1.28,none,0
49.92,70.73,31.99,57.96,40.07,146.93,0.66,916.39,49.5,48.74,22.32,none,0
51.59,70.93,61.58,95.75,100.0,1031.54,3.86,1247.4,117.99,51.74,3.09,database_connection_exhaustion,1
27.42,43.78,77.67,80.54,95.22,912.97,7.83,695.86,168.49,44.68,16.55,database_connection_exhaustion,1
77.7,91.41,63.86,21.28,67.14,577.87,4.69,857.26,111.5,56.03,7.33,memory_exhaustion,1
60.0,37.3,53.12,67.22,33.85,1265.53,7.59,1211.1,59.88,555.41,13.57,network_degradation,1
69.06,44.51,56.62,64.64,20.97,87.42,0.22,801.47,36.59,47.86,7.76,none,0
83.21,92.82,47.92,51.89,55.53,678.18,4.47,1057.3,96.47,29.43,3.2,memory_exhaustion,1
57.44,26.08,35.55,22.77,10.0,116.09,2.1,928.78,32.97,56.34,18.28,none,0
33.46,66.24,56.38,32.44,36.08,75.97,0.79,910.5,42.05,65.81,-8.82,none,0
29.39,55.7,53.03,93.81,99.28,838.3,4.05,732.56,152.02,46.42,3.11,database_connection_exhaustion,1
40.03,63.38,60.75,91.87,95.26,749.99,3.82,1017.35,57.81,56.14,-3.46,database_connection_exhaustion,1
85.64,90.57,50.6,74.06,61.59,600.95,10.2,898.23,106.69,42.78,11.19,memory_exhaustion,1
66.5,51.1,63.71,44.15,42.44,111.03,1.84,787.12,39.98,56.28,8.67,none,0
51.81,46.3,69.03,17.53,39.97,50.46,0.3,1340.97,43.43,29.21,-10.03,none,0
36.85,79.04,61.52,36.61,51.98,71.95,1.26,1024.87,28.71,51.86,8.45,none,0
34.67,60.77,79.43,30.45,31.68,216.79,1.35,1350.96,23.36,61.83,6.31,none,0
68.47,45.66,40.88,38.27,51.79,71.71,2.01,865.31,47.22,4.09,-2.87,none,0
95.35,93.74,52.31,41.2,42.61,553.94,3.49,1176.71,69.03,45.78,10.57,memory_exhaustion,1
26.33,39.33,53.94,50.01,45.77,111.72,2.22,1184.85,27.61,30.21,10.48,none,0
23.28,49.18,58.93,31.5,47.85,585.57,9.43,1311.99,199.91,470.62,-19.1,network_degradation,1
27.35,39.95,58.53,69.17,26.66,445.01,9.03,587.06,109.79,524.17,-0.21,network_degradation,1
66.93,90.15,45.45,53.12,56.44,707.07,5.48,1134.51,81.58,43.53,-9.24,memory_exhaustion,1
66.77,44.71,55.48,49.03,35.71,173.56,1.07,897.09,50.44,24.39,-19.13,none,0
83.24,45.14,25.95,40.34,40.71,732.53,7.72,1144.89,151.53,517.2,11.99,network_degradation,1
19.04,51.97,49.14,72.72,42.39,233.39,0.62,1146.81,34.79,26.96,6.77,none,0
40.14,29.7,54.74,93.36,91.14,662.97,8.67,596.09,130.48,32.16,-20.65,database_connection_exhaustion,1
80.74,55.04,60.82,42.5,57.25,181.25,2.5,869.67,23.47,32.81,12.91,none,0
38.12,44.9,59.71,97.56,93.02,714.45,6.89,804.4,151.48,25.55,-4.15,database_connection_exhaustion,1
30.36,39.07,63.38,41.68,54.71,149.32,2.06,741.23,29.82,36.84,-7.16,none,0
55.29,45.79,39.67,43.56,61.92,35.96,0.3,769.28,51.92,44.24,12.67,none,0
28.21,55.37,55.87,53.23,42.18,163.91,1.63,1194.44,42.11,15.7,-17.47,none,0
62.82,37.75,27.1,46.49,58.96,239.88,1.91,907.07,16.6,40.17,2.01,none,0
75.73,71.42,72.04,31.19,57.83,181.98,1.85,1312.42,39.53,51.1,11.37,none,0
95.59,70.6,46.66,25.8,70.23,638.04,8.6,1409.2,147.95,40.18,43.94,cpu_saturation,1
